customer_name,artist_name,total_bill
Astrid                                             Gruber                                            ,Alice In Chains,1.98
Terhi                                              Hämäläinen                                        ,Queen,1.98
Luís                                               Gonçalves                                         ,Queen,1.98
Astrid                                             Gruber                                            ,The Rolling Stones,1.98
Ladislav                                           Kovács                                            ,Metallica,1.98
Luis                                               Rojas                                             ,Pink Floyd,1.98
Jennifer                                           Peterson                                          ,Green Day,1.98
Eduardo                                            Martins                                           ,Black Label Society,1.98
Stanisław                                          Wójcik                                            ,The Who,1.98
John                                               Gordon                                            ,James Brown,1.98
Fernanda                                           Ramos                                             ,Itzhak Perlman,1.98
Emma                                               Jones                                             ,Metallica,1.98
Puja                                               Srivastava                                        ,Aerosmith,1.98
Puja                                               Srivastava                                        ,Marisa Monte,1.98
Hannah                                             Schneider                                         ,Foo Fighters,1.98
Kathy                                              Chase                                             ,The Rolling Stones,1.98
Richard                                            Cunningham                                        ,James Brown,1.98
Phil                                               Hughes                                            ,Van Halen,1.98
Dominique                                          Lefebvre                                          ,The Clash,1.98
Helena                                             Holý                                              ,Foo Fighters,1.98
Johannes                                           Van der Berg                                      ,Soundgarden,1.98
Frank                                              Ralston                                           ,Lenny Kravitz,1.98
Stanisław                                          Wójcik                                            ,Alice In Chains,1.98
Terhi                                              Hämäläinen                                        ,UB40,1.98
Stanisław                                          Wójcik                                            ,Godsmack,1.98
Daan                                               Peeters                                           ,Guns N' Roses,1.98
Puja                                               Srivastava                                        ,Pink Floyd,1.98
Daan                                               Peeters                                           ,Iron Maiden,1.98
Richard                                            Cunningham                                        ,Green Day,1.98
Terhi                                              Hämäläinen                                        ,Alice In Chains,1.98
Madalena                                           Sampaio                                           ,Metallica,1.98
Ellie                                              Sullivan                                          ,Black Sabbath,1.98
Terhi                                              Hämäläinen                                        ,Judas Priest,1.98
Hugh                                               O'Reilly                                          ,Faith No More,1.98
Helena                                             Holý                                              ,Audioslave,1.98
Dominique                                          Lefebvre                                          ,Iron Maiden,1.98
Steve                                              Murray                                            ,Guns N' Roses,1.98
Fernanda                                           Ramos                                             ,The Police,1.98
Helena                                             Holý                                              ,The Cult,1.98
Patrick                                            Gray                                              ,Iron Maiden,1.98
Manoj                                              Pareek                                            ,Nirvana,1.98
Aaron                                              Mitchell                                          ,Pearl Jam,1.98
Tim                                                Goyer                                             ,Green Day,1.98
Emma                                               Jones                                             ,Queen,1.98
Kathy                                              Chase                                             ,Marvin Gaye,1.98
Kathy                                              Chase                                             ,Guns N' Roses,1.98
Eduardo                                            Martins                                           ,The Doors,1.98
Roberto                                            Almeida                                           ,Foo Fighters,1.98
Tim                                                Goyer                                             ,Eric Clapton,1.98
François                                           Tremblay                                          ,Red Hot Chili Peppers,1.98
Niklas                                             Schröder                                          ,Van Halen,1.98
Dan                                                Miller                                            ,Jamiroquai,1.98
Helena                                             Holý                                              ,Aerosmith,1.98
Julia                                              Barnett                                           ,The Clash,1.98
Isabelle                                           Mercier                                           ,Judas Priest,1.98
Richard                                            Cunningham                                        ,R.E.M.,1.98
Enrique                                            Muñoz                                             ,Godsmack,1.98
Kara                                               Nielsen                                           ,AC/DC,1.98
Jack                                               Smith                                             ,Raul Seixas,1.98
Roberto                                            Almeida                                           ,Black Sabbath,1.98
Richard                                            Cunningham                                        ,Chris Cornell,1.98
Helena                                             Holý                                              ,Jamiroquai,1.98
R                                                  Madhav                                            ,Godsmack,1.98
R                                                  Madhav                                            ,Soundgarden,1.98
Emma                                               Jones                                             ,Chris Cornell,1.98
Frank                                              Ralston                                           ,Kiss,1.98
Enrique                                            Muñoz                                             ,Amy Winehouse,1.98
Emma                                               Jones                                             ,The Clash,1.98
Enrique                                            Muñoz                                             ,Green Day,1.98
Fernanda                                           Ramos                                             ,Ozzy Osbourne,1.98
Madalena                                           Sampaio                                           ,Amy Winehouse,1.98
Madalena                                           Sampaio                                           ,Pearl Jam,1.98
Bjørn                                              Hansen                                            ,Iron Maiden,1.98
Manoj                                              Pareek                                            ,Pearl Jam,1.98
Jennifer                                           Peterson                                          ,The Clash,1.98
Leonie                                             Köhler                                            ,The Police,1.98
Madalena                                           Sampaio                                           ,Men At Work,1.98
Steve                                              Murray                                            ,R.E.M.,1.98
Hannah                                             Schneider                                         ,Audioslave,1.98
Heather                                            Leacock                                           ,Nirvana,1.98
Steve                                              Murray                                            ,Miles Davis,1.98
R                                                  Madhav                                            ,Creedence Clearwater Revival,1.98
Johannes                                           Van der Berg                                      ,Queen,1.98
Roberto                                            Almeida                                           ,Motörhead,1.98
Mark                                               Taylor                                            ,Audioslave,1.98
Johannes                                           Van der Berg                                      ,Alice In Chains,1.98
Frank                                              Harris                                            ,Jimi Hendrix,1.98
Luís                                               Gonçalves                                         ,Marisa Monte,1.98
Tim                                                Goyer                                             ,Jamiroquai,1.98
R                                                  Madhav                                            ,U2,1.98
Roberto                                            Almeida                                           ,Frank Sinatra,1.98
Dominique                                          Lefebvre                                          ,Marvin Gaye,1.98
Joakim                                             Johansson                                         ,The Doors,1.98
Patrick                                            Gray                                              ,Van Halen,1.98
R                                                  Madhav                                            ,Ozzy Osbourne,1.98
Johannes                                           Van der Berg                                      ,Motörhead,1.98
Robert                                             Brown                                             ,Foo Fighters,1.98
Madalena                                           Sampaio                                           ,Miles Davis,1.98
Manoj                                              Pareek                                            ,Green Day,1.98
Phil                                               Hughes                                            ,Godsmack,1.98
Edward                                             Francis                                           ,Apocalyptica,1.98
Johannes                                           Van der Berg                                      ,Frank Sinatra,1.98
Astrid                                             Gruber                                            ,Aerosmith,1.98
Manoj                                              Pareek                                            ,System Of A Down,1.98
Jennifer                                           Peterson                                          ,Velvet Revolver,1.98
Johannes                                           Van der Berg                                      ,Eric Clapton,1.98
Mark                                               Taylor                                            ,Green Day,1.98
Emma                                               Jones                                             ,Pearl Jam,1.98
Hugh                                               O'Reilly                                          ,Amy Winehouse,1.98
Johannes                                           Van der Berg                                      ,The Rolling Stones,1.98
Wyatt                                              Girard                                            ,The Police,1.98
Luís                                               Gonçalves                                         ,Alanis Morissette,1.98
Edward                                             Francis                                           ,Black Sabbath,1.98
Edward                                             Francis                                           ,U2,1.98
Stanisław                                          Wójcik                                            ,Iron Maiden,1.98
Manoj                                              Pareek                                            ,Guns N' Roses,1.98
Dominique                                          Lefebvre                                          ,Metallica,1.98
John                                               Gordon                                            ,The Doors,1.98
Edward                                             Francis                                           ,Red Hot Chili Peppers,1.98
François                                           Tremblay                                          ,Metallica,1.98
Puja                                               Srivastava                                        ,Audioslave,1.98
Helena                                             Holý                                              ,Santana,1.98
Patrick                                            Gray                                              ,Santana,1.98
Leonie                                             Köhler                                            ,Van Halen,1.98
Terhi                                              Hämäläinen                                        ,System Of A Down,1.98
Fernanda                                           Ramos                                             ,Santana,1.98
Enrique                                            Muñoz                                             ,Metallica,1.98
Emma                                               Jones                                             ,The Rolling Stones,1.98
Marc                                               Dubois                                            ,Stone Temple Pilots,1.98
Luís                                               Gonçalves                                         ,The Police,1.98
Roberto                                            Almeida                                           ,Aerosmith,1.98
R                                                  Madhav                                            ,Motörhead,1.98
Dan                                                Miller                                            ,Lenny Kravitz,1.98
Ellie                                              Sullivan                                          ,The Police,1.98
Kara                                               Nielsen                                           ,Nirvana,1.98
Frank                                              Ralston                                           ,Soundgarden,1.98
Martha                                             Silk                                              ,Green Day,1.98
Isabelle                                           Mercier                                           ,Alice In Chains,1.98
Stanisław                                          Wójcik                                            ,Spyro Gyra,1.98
Stanisław                                          Wójcik                                            ,Stone Temple Pilots,1.98
Jack                                               Smith                                             ,Queen,1.98
François                                           Tremblay                                          ,Led Zeppelin,1.98
R                                                  Madhav                                            ,AC/DC,1.98
Jack                                               Smith                                             ,Apocalyptica,1.98
Puja                                               Srivastava                                        ,Alanis Morissette,1.98
Niklas                                             Schröder                                          ,Frank Sinatra,1.98
Wyatt                                              Girard                                            ,Pearl Jam,1.98
Fynn                                               Zimmermann                                        ,The Police,1.98
François                                           Tremblay                                          ,Aerosmith,1.98
Ladislav                                           Kovács                                            ,The Doors,1.98
Fynn                                               Zimmermann                                        ,Led Zeppelin,1.98
Luis                                               Rojas                                             ,Creedence Clearwater Revival,1.98
Daan                                               Peeters                                           ,Aerosmith,1.98
Bjørn                                              Hansen                                            ,Black Sabbath,1.98
Tim                                                Goyer                                             ,Van Halen,1.98
Dan                                                Miller                                            ,Stone Temple Pilots,1.98
Richard                                            Cunningham                                        ,Van Halen,1.98
Marc                                               Dubois                                            ,Van Halen,1.98
Camille                                            Bernard                                           ,The Rolling Stones,1.98
Helena                                             Holý                                              ,Accept,1.98
João                                               Fernandes                                         ,James Brown,1.98
Jack                                               Smith                                             ,Alice In Chains,1.98
Enrique                                            Muñoz                                             ,Black Sabbath,1.98
Enrique                                            Muñoz                                             ,Ozzy Osbourne,1.98
François                                           Tremblay                                          ,The Black Crowes,1.98
Martha                                             Silk                                              ,Amy Winehouse,1.98
Hannah                                             Schneider                                         ,Scorpions,1.98
Marc                                               Dubois                                            ,Eric Clapton,1.98
Alexandre                                          Rocha                                             ,Green Day,1.98
Puja                                               Srivastava                                        ,Jamiroquai,1.98
Hugh                                               O'Reilly                                          ,Metallica,1.98
John                                               Gordon                                            ,Audioslave,1.98
Daan                                               Peeters                                           ,Stone Temple Pilots,1.98
Hannah                                             Schneider                                         ,Guns N' Roses,1.98
Mark                                               Taylor                                            ,Deep Purple,1.98
Jack                                               Smith                                             ,Soundgarden,1.98
Martha                                             Silk                                              ,System Of A Down,1.98
Mark                                               Taylor                                            ,Pearl Jam,1.98
Steve                                              Murray                                            ,Motörhead,1.98
Manoj                                              Pareek                                            ,Faith No More,1.98
Manoj                                              Pareek                                            ,Miles Davis,1.98
Patrick                                            Gray                                              ,The Rolling Stones,1.98
Eduardo                                            Martins                                           ,Nirvana,1.98
Edward                                             Francis                                           ,Aerosmith,1.98
Puja                                               Srivastava                                        ,Judas Priest,1.98
Edward                                             Francis                                           ,Ozzy Osbourne,1.98
Astrid                                             Gruber                                            ,System Of A Down,1.98
Luis                                               Rojas                                             ,AC/DC,1.98
Kara                                               Nielsen                                           ,System Of A Down,1.98
Luis                                               Rojas                                             ,Deep Purple,1.98
Johannes                                           Van der Berg                                      ,Red Hot Chili Peppers,1.98
Mark                                               Taylor                                            ,The Doors,1.98
Niklas                                             Schröder                                          ,Eric Clapton,1.98
Dominique                                          Lefebvre                                          ,Lenny Kravitz,1.98
Helena                                             Holý                                              ,Amy Winehouse,1.98
Stanisław                                          Wójcik                                            ,Jimi Hendrix,1.98
Luis                                               Rojas                                             ,Ozzy Osbourne,1.98
Alexandre                                          Rocha                                             ,Queen,1.98
Heather                                            Leacock                                           ,Creedence Clearwater Revival,1.98
John                                               Gordon                                            ,Guns N' Roses,1.98
R                                                  Madhav                                            ,The Police,1.98
Frank                                              Ralston                                           ,Jimi Hendrix,1.98
Diego                                              Gutiérrez                                         ,Eric Clapton,1.98
Phil                                               Hughes                                            ,Santana,1.98
João                                               Fernandes                                         ,The Clash,1.98
Roberto                                            Almeida                                           ,Pearl Jam,1.98
Fernanda                                           Ramos                                             ,Pink Floyd,1.98
Frank                                              Ralston                                           ,The Police,1.98
Eduardo                                            Martins                                           ,Green Day,1.98
Fernanda                                           Ramos                                             ,R.E.M.,1.98
Kathy                                              Chase                                             ,Eric Clapton,1.98
Heather                                            Leacock                                           ,Deep Purple,1.98
Luis                                               Rojas                                             ,JET,1.98
Astrid                                             Gruber                                            ,Calexico,0.99
Aaron                                              Mitchell                                          ,Black Sabbath,0.99
John                                               Gordon                                            ,Jimi Hendrix,0.99
Ellie                                              Sullivan                                          ,Jimi Hendrix,0.99
Jack                                               Smith                                             ,Jimi Hendrix,0.99
Edward                                             Francis                                           ,Deep Purple,0.99
Steve                                              Murray                                            ,Santana,0.99
Jack                                               Smith                                             ,AC/DC,0.99
Madalena                                           Sampaio                                           ,U2,0.99
Johannes                                           Van der Berg                                      ,Green Day,0.99
Daan                                               Peeters                                           ,Black Sabbath,0.99
Dominique                                          Lefebvre                                          ,R.E.M.,0.99
Diego                                              Gutiérrez                                         ,AC/DC,0.99
Leonie                                             Köhler                                            ,Spyro Gyra,0.99
Kathy                                              Chase                                             ,Calexico,0.99
Diego                                              Gutiérrez                                         ,Def Leppard,0.99
Ellie                                              Sullivan                                          ,Santana,0.99
Aaron                                              Mitchell                                          ,Godsmack,0.99
Michelle                                           Brooks                                            ,Rush,0.99
François                                           Tremblay                                          ,Pearl Jam,0.99
François                                           Tremblay                                          ,Guns N' Roses,0.99
Bjørn                                              Hansen                                            ,Scorpions,0.99
Astrid                                             Gruber                                            ,Red Hot Chili Peppers,0.99
Edward                                             Francis                                           ,Men At Work,0.99
João                                               Fernandes                                         ,Santana,0.99
Fernanda                                           Ramos                                             ,Jimi Hendrix,0.99
R                                                  Madhav                                            ,House Of Pain,0.99
Astrid                                             Gruber                                            ,The Clash,0.99
Edward                                             Francis                                           ,The Who,0.99
Heather                                            Leacock                                           ,Lenny Kravitz,0.99
Daan                                               Peeters                                           ,System Of A Down,0.99
Hannah                                             Schneider                                         ,The Cult,0.99
João                                               Fernandes                                         ,Incognito,0.99
João                                               Fernandes                                         ,Marvin Gaye,0.99
Daan                                               Peeters                                           ,Black Label Society,0.99
Hannah                                             Schneider                                         ,Cake,0.99
Enrique                                            Muñoz                                             ,House Of Pain,0.99
Niklas                                             Schröder                                          ,Black Sabbath,0.99
Lucas                                              Mancini                                           ,Metallica,0.99
Jack                                               Smith                                             ,Kiss,0.99
Manoj                                              Pareek                                            ,Black Sabbath,0.99
Helena                                             Holý                                              ,Gustav Mahler,0.99
Alexandre                                          Rocha                                             ,Led Zeppelin,0.99
Johannes                                           Van der Berg                                      ,Metallica,0.99
Niklas                                             Schröder                                          ,Pearl Jam,0.99
Hannah                                             Schneider                                         ,Chris Cornell,0.99
Ellie                                              Sullivan                                          ,Iron Maiden,0.99
Michelle                                           Brooks                                            ,Deep Purple,0.99
Helena                                             Holý                                              ,Alice In Chains,0.99
Heather                                            Leacock                                           ,Audioslave,0.99
Frank                                              Ralston                                           ,Red Hot Chili Peppers,0.99
Ladislav                                           Kovács                                            ,Van Halen,0.99
Frank                                              Ralston                                           ,Audioslave,0.99
Julia                                              Barnett                                           ,Motörhead,0.99
Niklas                                             Schröder                                          ,Os Mutantes,0.99
Luís                                               Gonçalves                                         ,Red Hot Chili Peppers,0.99
Alexandre                                          Rocha                                             ,Jorge Ben,0.99
Diego                                              Gutiérrez                                         ,The Clash,0.99
Emma                                               Jones                                             ,Santana,0.99
Heather                                            Leacock                                           ,Red Hot Chili Peppers,0.99
R                                                  Madhav                                            ,Falamansa,0.99
Joakim                                             Johansson                                         ,Cake,0.99
Aaron                                              Mitchell                                          ,Pink Floyd,0.99
Terhi                                              Hämäläinen                                        ,Scorpions,0.99
Martha                                             Silk                                              ,Iron Maiden,0.99
Luis                                               Rojas                                             ,Scorpions,0.99
Niklas                                             Schröder                                          ,Djavan,0.99
Daan                                               Peeters                                           ,Emerson String Quartet,0.99
Frank                                              Ralston                                           ,Eric Clapton,0.99
Puja                                               Srivastava                                        ,Caetano Veloso,0.99
Isabelle                                           Mercier                                           ,Nirvana,0.99
Niklas                                             Schröder                                          ,Cake,0.99
Kathy                                              Chase                                             ,The Clash,0.99
Isabelle                                           Mercier                                           ,UB40,0.99
Mark                                               Taylor                                            ,Itzhak Perlman,0.99
Frank                                              Harris                                            ,Marisa Monte,0.99
Edward                                             Francis                                           ,Jimi Hendrix,0.99
Frank                                              Harris                                            ,Black Sabbath,0.99
François                                           Tremblay                                          ,Pink Floyd,0.99
Bjørn                                              Hansen                                            ,Miles Davis,0.99
Joakim                                             Johansson                                         ,Lenny Kravitz,0.99
Astrid                                             Gruber                                            ,Iron Maiden,0.99
Luís                                               Gonçalves                                         ,Raimundos,0.99
Robert                                             Brown                                             ,Chris Cornell,0.99
Tim                                                Goyer                                             ,AC/DC,0.99
Roberto                                            Almeida                                           ,Ozzy Osbourne,0.99
Leonie                                             Köhler                                            ,Red Hot Chili Peppers,0.99
Michelle                                           Brooks                                            ,U2,0.99
Martha                                             Silk                                              ,Deep Purple,0.99
Fernanda                                           Ramos                                             ,James Levine,0.99
Leonie                                             Köhler                                            ,Marillion,0.99
Edward                                             Francis                                           ,Buddy Guy,0.99
Dan                                                Miller                                            ,Rush,0.99
Phil                                               Hughes                                            ,Lenny Kravitz,0.99
Luis                                               Rojas                                             ,The Rolling Stones,0.99
Kathy                                              Chase                                             ,Frank Sinatra,0.99
Terhi                                              Hämäläinen                                        ,R.E.M.,0.99
Bjørn                                              Hansen                                            ,Eric Clapton,0.99
Isabelle                                           Mercier                                           ,Santana,0.99
Lucas                                              Mancini                                           ,Cake,0.99
Eduardo                                            Martins                                           ,Pink Floyd,0.99
Victor                                             Stevens                                           ,Miles Davis,0.99
Edward                                             Francis                                           ,Lulu Santos,0.99
Ellie                                              Sullivan                                          ,The Black Crowes,0.99
Johannes                                           Van der Berg                                      ,Van Halen,0.99
Heather                                            Leacock                                           ,Marisa Monte,0.99
Leonie                                             Köhler                                            ,U2,0.99
Jennifer                                           Peterson                                          ,Def Leppard,0.99
Aaron                                              Mitchell                                          ,Green Day,0.99
Manoj                                              Pareek                                            ,Pink Floyd,0.99
Alexandre                                          Rocha                                             ,Caetano Veloso,0.99
Johannes                                           Van der Berg                                      ,Santana,0.99
Hannah                                             Schneider                                         ,Luciano Pavarotti,0.99
Leonie                                             Köhler                                            ,Apocalyptica,0.99
João                                               Fernandes                                         ,Spyro Gyra,0.99
John                                               Gordon                                            ,Creedence Clearwater Revival,0.99
Phil                                               Hughes                                            ,Chico Buarque,0.99
Luís                                               Gonçalves                                         ,Black Sabbath,0.99
Luís                                               Gonçalves                                         ,Van Halen,0.99
Daan                                               Peeters                                           ,Velvet Revolver,0.99
Enrique                                            Muñoz                                             ,Soundgarden,0.99
John                                               Gordon                                            ,Apocalyptica,0.99
Dan                                                Miller                                            ,Pearl Jam,0.99
Emma                                               Jones                                             ,Def Leppard,0.99
R                                                  Madhav                                            ,Iron Maiden,0.99
Hugh                                               O'Reilly                                          ,Jimi Hendrix,0.99
Camille                                            Bernard                                           ,Deep Purple,0.99
Frank                                              Ralston                                           ,Deep Purple,0.99
Mark                                               Taylor                                            ,Alice In Chains,0.99
Enrique                                            Muñoz                                             ,Van Halen,0.99
Jennifer                                           Peterson                                          ,The Rolling Stones,0.99
Kara                                               Nielsen                                           ,Guns N' Roses,0.99
Fynn                                               Zimmermann                                        ,Alanis Morissette,0.99
Jennifer                                           Peterson                                          ,Rush,0.99
Robert                                             Brown                                             ,Ozzy Osbourne,0.99
Michelle                                           Brooks                                            ,Audioslave,0.99
Puja                                               Srivastava                                        ,Ed Motta,0.99
Diego                                              Gutiérrez                                         ,Lenny Kravitz,0.99
Edward                                             Francis                                           ,Stone Temple Pilots,0.99
Ladislav                                           Kovács                                            ,Kiss,0.99
Frank                                              Harris                                            ,Pink Floyd,0.99
Jennifer                                           Peterson                                          ,Apocalyptica,0.99
Eduardo                                            Martins                                           ,U2,0.99
Wyatt                                              Girard                                            ,Metallica,0.99
Leonie                                             Köhler                                            ,Buddy Guy,0.99
Edward                                             Francis                                           ,Marvin Gaye,0.99
Michelle                                           Brooks                                            ,Chris Cornell,0.99
Hannah                                             Schneider                                         ,Vinícius De Moraes,0.99
Luis                                               Rojas                                             ,Audioslave,0.99
John                                               Gordon                                            ,Stone Temple Pilots,0.99
Kathy                                              Chase                                             ,The Doors,0.99
Enrique                                            Muñoz                                             ,R.E.M.,0.99
João                                               Fernandes                                         ,The Who,0.99
R                                                  Madhav                                            ,Aerosmith,0.99
João                                               Fernandes                                         ,Frank Sinatra,0.99
Julia                                              Barnett                                           ,U2,0.99
Edward                                             Francis                                           ,Godsmack,0.99
Helena                                             Holý                                              ,Chico Science & Nação Zumbi,0.99
Ladislav                                           Kovács                                            ,Lenny Kravitz,0.99
Fernanda                                           Ramos                                             ,Luciana Souza/Romero Lubambo,0.99
Puja                                               Srivastava                                        ,Kiss,0.99
Richard                                            Cunningham                                        ,Caetano Veloso,0.99
Daan                                               Peeters                                           ,Alice In Chains,0.99
Camille                                            Bernard                                           ,Motörhead,0.99
